,原文,主题分布向量
2458,违法成本低所以屡禁不止,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2459,如果是老人霸座呢,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2460,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2461,要给这位乘警叔叔不包括那些和稀泥乘警点赞,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2462,我怎么看我要给乘警送锦旗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2463,终于能治一下这些无赖了吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2464,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2465,好,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2466,给负责任的乘警同志点赞,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2467,干的漂亮点赞,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2468,进去把牢底坐穿吧,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2469,好,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2470,这才是乘警,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2471,做得好,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2472,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2473,执法规范看着解气结局舒适,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2474,莫名舒适,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2475,才5天让ta多吃几顿免得ta觉得自己吃亏了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2476,警察叔叔做得对,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2477,这乘警要表扬,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2478,最讨厌泼妇了,0.071 0.071 0.071 0.071 0.571 0.071 0.071
2479,好,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2480,不用那么大声低声警告完带走就好啦心疼乘警的嗓子,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2481,@Y雅痞P,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2482,让大众赶脚很舒服的执法程序,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2483,果断,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2484,不能拘留15日吗,0.143 0.143 0.142 0.142 0.144 0.143 0.143
2485,扇几巴掌再理论,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2486,活该,0.071 0.071 0.071 0.571 0.071 0.071 0.071
2487,結局很舒適,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2488,规范执法按标准执法,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2489,在各大平台上多传播传播三次警告最后处理的结果,0.143 0.143 0.142 0.142 0.144 0.143 0.143
2490,就该这样,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2491,警惕性太牛了坚决打击拐卖,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2492,多问一句查到了产业链警察叔叔太棒了👏向您们致敬🫡,0.048 0.048 0.048 0.714 0.048 0.048 0.048
2493,这是两个幸运的娃娃望世界无拐,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2494,一定要加大对拐骗未成年人罪犯的处罚力度 他们摧毁了无数家庭的幸福,0.048 0.048 0.048 0.048 0.048 0.714 0.048
2495,谢谢警察蜀黍请随时提高警惕啊,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2496,现在竟然还有人如此胆大包天全部重判才能予以警示,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2497,工作人员好样的我坐飞机回娘家忘记带娃的身份证在机场办理临时乘机证明 好几个工作人员围着我和孩子我积极配合询问我知道这是对我们负责如果有一天我的孩子走丢他们这样负责我也安心,0.143 0.146 0.140 0.141 0.144 0.144 0.142
2498,万幸真是万幸啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2499,基因登记基因对比有这么难吗该升级的就升级嘛,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2500,64名孩子啊这对社会来说真是天大的贡献啊,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2501,一查就是300多人数量太大,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2502,责任心和警惕意识,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2503,妈呀2023年还有这么多被拐卖的吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2504,我勒个去这么大规模,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2505,太好了两个小孩太幸运了警察真的太棒了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2506,孩子大了也会拐孩子小了更会拐,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2507,真是可怕万幸啊🙏,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2508,愿天下无拐还好小孩还要身份证入站,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2509,拯救了多少家庭感谢多问一句的警察,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2510,这么多,0.143 0.143 0.142 0.142 0.144 0.143 0.143
2511,应该给葫芦岛的公安人员记一大功帮助一名被拐孩子找到自己的亲人无异于帮他再造父母无异于挽救了一个乃至几个家庭功莫大焉善莫大焉,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2512,居然还敢这么嚣张重惩,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2513,64人 我的天呐 背后是多少家庭啊,0.036 0.036 0.036 0.036 0.036 0.786 0.036
2514,现在列车员警惕性真的超强 领我闺女出去玩她在火车上大哭列车员都跑过来看,0.143 0.144 0.140 0.141 0.144 0.146 0.142
2515,您好恭喜您的视频荣登视频飙升榜社会领域第5名榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳网页链接,0.786 0.036 0.036 0.036 0.036 0.036 0.036
2516,涉案76被拐64……人贩子真该死啊,0.065 0.065 0.065 0.065 0.609 0.065 0.065
2517,万幸🙏🙏,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2518,我还以为国内基本无拐了没想到还有那么大规模的团伙,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2519,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2520,真是万幸,0.143 0.144 0.141 0.142 0.144 0.144 0.143
2521,也要做好对孩子的教育工作,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2522,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2523,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2524,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2525,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2526,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2527,被发现的都是幸运的孩子还有好多没被发现的孩子坚决打击拐卖也要多给孩子培养安全意识,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2528,点赞民警,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2529,什么年代了还有人买孩子试管婴儿技术这么好亲生的不香吗想要自己生去啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2530,责任心真的是致敬,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2531,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2532,必须重判拐骗儿童的犯罪分子🙏,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2533,天下无枴,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2534,2023年居然还有拐卖儿童妇女,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2535,充满能量的警察,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2536,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2537,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2538,没看懂葫芦岛那个怎么回事,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2539,我们葫芦岛厉害了👍🏻,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2540,我们葫芦岛的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2541,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2542,太可怕了这伙人,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2543,谢谢警察叔叔们,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2544,这个数字很吓人了现在还有这么多拐卖的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2545,多问一句拯救了那么多孩子人民警察太棒了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2546,建议对人贩子枪毙打靶,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2547,太厉害了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2548,✌🏻保护人类花朵呀,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2549,必须引起重视,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2550,配享太庙,0.071 0.071 0.071 0.571 0.071 0.071 0.071
2551,致敬人民警察,0.571 0.071 0.071 0.071 0.071 0.071 0.071
2552,谢谢警察蜀黍请随时提高警惕啊,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2553,致敬#民警多问一句竟发现2名被拐孩子#2023年截至12月10日铁路公安机关共解救被拐妇女和未成年人300余人警方#提醒儿童不要吃陌生人给的零食饮料#↓↓ 央视新闻的微博视频,0.024 0.358 0.024 0.523 0.024 0.024 0.024
2554,谢谢警察蜀黍请随时提高警惕,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2555,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2556,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2557,这么多人,0.143 0.144 0.142 0.142 0.143 0.144 0.143
2558,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
2559,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2560,为细心的铁路警察点赞,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2561,🙏,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2562,厉害了,0.143 0.143 0.142 0.142 0.144 0.144 0.143
2563,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2564,真好防止了多个家庭的破碎,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2565,建议新生儿血液入库吧,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2566,为民警点赞,0.143 0.144 0.142 0.142 0.143 0.144 0.143
2567,被拐卖的孩子天亮了 致敬人民警察,0.714 0.048 0.048 0.048 0.048 0.048 0.048
2568,人民公安为人民,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2569,必须重判,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2570,太棒了,0.143 0.144 0.141 0.142 0.144 0.143 0.143
2571,负责任的民警谢谢你们解救未成年人,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2572,为民警点赞,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2573,幸亏有民警,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2574,#民警多问一句竟发现2名被拐孩子#幸好有民警坚决打击拐卖,0.048 0.714 0.048 0.048 0.048 0.048 0.048
2575,早上好,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2576,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2577,任重道远,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2578,好棒//@卡布叻晨三文鱼:多问一句查到了产业链警察叔叔太棒了👏向您们致敬🫡,0.029 0.029 0.029 0.829 0.029 0.029 0.029
2579,64个孩子真棒,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2580,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2581,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2582,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2583,晚安,0.071 0.071 0.071 0.071 0.071 0.571 0.071
2584,好,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2585,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2586,多少个家庭得救了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2587,幸亏了警察叔叔机警,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2588,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2589,真是万幸,0.143 0.144 0.141 0.142 0.144 0.144 0.143
2590,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2591,警惕性很强责任心很强致敬,0.143 0.143 0.142 0.142 0.144 0.143 0.143
2592,幸运的事,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2593,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2594,真是万幸,0.143 0.144 0.141 0.142 0.144 0.144 0.143
2595,万幸万幸多谢人民警察向您们致敬希望世界无拐,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2596,真好,0.143 0.143 0.142 0.142 0.144 0.143 0.143
2597,太好了,0.143 0.143 0.142 0.142 0.144 0.144 0.143
2598,点赞铁路公安,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2599,坚决打击拐骗,0.143 0.144 0.142 0.142 0.143 0.144 0.143
2600,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2601,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2602,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2603,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2604,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2605,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2606,真是万幸,0.143 0.144 0.141 0.142 0.144 0.144 0.143
2607,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2608,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2609,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2610,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2611,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2612,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2613,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2614,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2615,万幸约64个家庭可以得救,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2616,功德无量,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2617,一次拐卖就有一个家庭破碎,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2618,有些警察是真的好,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2619,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
2620,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2621,致敬在一线工作的民警,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2622,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2623,同时解救了几十个家庭,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2624,优秀,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2625,加大对未成年人的保护力度家庭学校社会共同构建未成年人保护网,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2626,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2627,天怎么还有拐卖的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2628,牛逼 直接抓这么多人 加油,0.036 0.786 0.036 0.036 0.036 0.036 0.036
2629,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2630,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2631,太好了警察叔叔YYDS,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2632,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2633,好警察谢谢你们,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2634,@启林某 2023年了还有这么多爆出来被拐的太可怕了,0.143 0.146 0.140 0.141 0.144 0.144 0.142
2635,天呐,0.071 0.071 0.071 0.571 0.071 0.071 0.071
2636,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2637,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2638,好好好拯救了64个家庭啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2639,一定要加大打击力度,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2640,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2641,唉要是没有坐火车而是自己开车去的话这不就成功了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2642,很难想象现在还有拐卖儿童的人,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2643,上高速什么的也这样查的话也能少一部分,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2644,我们普通老百姓要做的就是当你遇到警察询问时耐心点理解点别不耐烦就是对他们工作最大的支持,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2645,重重打击拐卖,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2646,我提议把这些人自己卖到缅甸去吧让他们也享受享受自己的售后服务,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2647,这真是非常好的消息辛苦啦警察叔叔们,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2648,//@Vibrante_wit:警惕性太牛了坚决打击拐卖,0.048 0.714 0.048 0.048 0.048 0.048 0.048
2649,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2650,谢谢警察叔叔,0.143 0.144 0.142 0.142 0.143 0.144 0.143
2651,感谢如此负责如此警惕的警察👮🏻♂️,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2652,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2653,干的漂亮,0.143 0.143 0.140 0.141 0.144 0.146 0.142
2654,好厉害,0.143 0.144 0.141 0.142 0.144 0.144 0.143
2655,感谢警察叔叔,0.143 0.144 0.142 0.142 0.144 0.143 0.143
2656,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2657,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2658,民警同志们功德无量,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2659,那天看到一个寻人的评论还有说现在12岁的女孩不会被拐,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2660,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2661,愿天下无拐,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2662,我K犯罪份子请判si谢谢虽伤我功德我也要说,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2663,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2664,感谢有这样的好警察,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2665,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
2666,如果是通过开车哪是不是就抓不到了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2667,早,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2668,希望加大打击力度,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2669,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2670,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
2671,天呐太厉害了挽救了多少家庭,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2672,功德一生🙏🙏🙏,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2673,真棒,0.143 0.144 0.141 0.142 0.144 0.144 0.143
2674,当警察需要胆大心细打call,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2675,#民警多问一句竟发现2名被拐孩子#警方#提醒儿童不要吃陌生人给的零食饮料#↓,0.036 0.786 0.036 0.036 0.036 0.036 0.036
2676,为这样的警察手动点赞好棒,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2677,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
2678,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2679,棒👍🏻👍🏻👍🏻👍🏻,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2680,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2681,东北竟然发生这种事儿,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2682,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2683,2023年了是哪些人还在买孩子,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2684,好人一生平安,0.143 0.144 0.141 0.142 0.144 0.144 0.143
2685,配享太庙 致敬,0.048 0.048 0.048 0.714 0.048 0.048 0.048
2686,愿天下无拐,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2687,警察同志,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2688,这么多儿童这又是多个家庭,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2689,问了句啥,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2690,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2691,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2692,干得好多抓多抓,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2693,向人民警察致敬,0.143 0.143 0.142 0.142 0.144 0.143 0.143
2694,当时爆出民营医院5万一张出生证明,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2695,幸运,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2696,到处都有隐秘的角落,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2697,棒棒哒,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2698,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2699,感谢我们的人民警察👮♂️,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2700,76人 我的天,0.048 0.048 0.714 0.048 0.048 0.048 0.048
2701,有的是孩子父母自己卖的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2702,感谢👮🏻♀️叔叔敬礼🫡,0.048 0.714 0.048 0.048 0.048 0.048 0.048
2703,我带我女儿去香港浦东机场民警把我女儿拉到距离我二十几的地方问她叫什么妈妈叫什么出生年月我女儿十岁👍,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2704,我记得当时我们坐飞机娃也是要办临时身份证警察问的可仔细了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2705,谢谢警察叔叔,0.143 0.144 0.142 0.142 0.143 0.144 0.143
2706,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2707,真的是万幸点赞民警,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2708,出行多配合民警的工作该查什么就说清楚,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2709,帮,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2710,感动这绝对是解救了64个家庭啊功德无量,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2711,这年头还有拐卖孩子呢,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2712,天啊,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2713,wc300人这团伙这么大,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2714,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2715,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2716,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2717,现在还有这么多拐卖的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2718,安全教育得加强,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2719,300余人,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2720,为人民警察点赞,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2721,愿天下无拐,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2722,我的天啊拐卖还没结束呢有人就还好感动了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2723,现在竟然还有拐卖的怪不得时不时有失踪小孩的新闻,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2724,#民警多问一句竟发现2名被拐孩子#,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2725,牛逼,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2726,64人,0.071 0.071 0.071 0.071 0.071 0.571 0.071
2727,这是在东北难以置信,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2728,不是说东北不敢拐小孩吗,0.143 0.143 0.142 0.142 0.143 0.144 0.143
2729,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
2730,愿天下无拐,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2731,谢谢这位警察,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2732,什么年代了呀居然还有拐太可怕了,0.143 0.143 0.142 0.142 0.144 0.143 0.143
2733,大东北就是牛,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2734,现在还有拐卖人口的吗还以为已经杜绝了,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2735,警察蜀黍致敬,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2736,拍一部天下无拐吧,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2737,辽宁葫芦岛,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2738,谢谢警察,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2739,这是有责任心的人啊[贊],0.143 0.143 0.142 0.142 0.143 0.143 0.143
2740,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2741,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2742,这么大的拐骗团伙葫芦岛怎么回事,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2743,怎么还有拐卖,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2744,真有好警察,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2745,国家公安部应该常年专项打击比照酒驾,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2746,就现在还有拐卖孩子的吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2747,为铁路民警点赞,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2748,细心严谨的工作解救了一群幸运的孩子…为警察叔叔点赞,0.048 0.048 0.048 0.048 0.048 0.714 0.048
2749,现在了还特么有拐卖,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2750,万幸,0.071 0.571 0.071 0.071 0.071 0.071 0.071
2751,这种办理临时身份证的就应该多查查多问问,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2752,感谢警察坚决打击拐卖,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2753,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2754,民警好样的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2755,感谢警察叔叔,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2756,多问问,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2757,这么多人被拐,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2758,这个年代还有啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2759,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2760,严打,0.143 0.144 0.141 0.142 0.144 0.144 0.143
2761,给帽子叔叔点赞,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2762,这是个大案子,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2763,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2764,给这个民警点赞人民的好警察,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2765,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2766,太好了,0.143 0.144 0.142 0.142 0.144 0.143 0.143
2767,64个孩子我的天啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2768,现在还有拐卖人口的吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2769,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2770,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2771,怎么一对话呢,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2772,太棒了,0.143 0.144 0.141 0.142 0.143 0.144 0.142
2773,致敬大家平平安安健健康康,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2774,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
2775,判五年怕什么,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2776,好好好啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
2777,我以为现在妹拐卖的了现在网络科技这么发达,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2778,这个年代了怎么还有拐卖儿童严厉打击,0.143 0.144 0.142 0.142 0.143 0.143 0.143
2779,坚决打击,0.143 0.144 0.142 0.142 0.143 0.144 0.143
2780,太可怕了,0.071 0.071 0.071 0.071 0.071 0.071 0.571
2781,🙏🙏🙏,0.143 0.143 0.143 0.143 0.143 0.143 0.143
