微博id,评论页码,评论id,评论时间,评论者赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4.95E+15,3,4.95E+15,2023/9/16 14:50,20,来自云南,Sawako__,1897799660,女,561,2881,那天有位小姐姐想和我换座位 但是我晕高铁特意买的靠窗就没换 和她解释了一下她说没关系 后面还怕我晕 分我溜溜梅吃爱一些情绪稳定有礼貌的人 像新闻里这种就该被抓起来
4.95E+15,3,4.95E+15,2023/9/16 13:35,20,来自江西,小不忍Zzzz,5592012449,男,999,2705,乘警又不在
4.95E+15,3,4.95E+15,2023/9/16 14:00,15,来自上海,卡哇伊姨姨,5614975710,女,81,57,卧槽，女生一个人出门太可怕了，被抢票还被打
4.95E+15,3,4.95E+15,2023/9/16 14:35,8,来自上海,Celia洁summer,6586749650,女,862,86,一个人坐车还是要注意安全
4.95E+15,3,4.95E+15,2023/9/16 13:56,18,来自天津,NONOsMIBAO,1636288245,女,618,808,乘警呢？
4.95E+15,3,4.95E+15,2023/9/16 15:20,12,来自四川,公子长安y,1006302922,女,213,119,化妆乘警立马到位，打架乘警姗姗来迟
4.95E+15,3,4.95E+15,2023/9/16 14:37,10,来自重庆,21Sgdhdd,6290333820,女,2402,28,打了十分钟乘务员都没出面
4.95E+15,3,4.95E+15,2023/9/16 14:34,9,来自云南,纯白花语2017,5372646099,女,2351,322,河北就不奇怪了，如果是唐山的话
4.95E+15,3,4.95E+15,2023/9/16 14:18,7,来自广东,仲夏的心跳回忆,6178629223,男,77,2,这时候反击回去的话，算是互殴还是自卫？
4.95E+15,3,4.95E+15,2023/9/16 11:14,11,来自美国,·一枚鱼饼·,7672927511,女,47,1026,好可怕……
4.95E+15,3,4.95E+15,2023/9/16 15:48,2,来自浙江,西晚晚,6645261186,女,2218,1933,还有理了？
4.95E+15,3,4.95E+15,2023/9/16 13:29,12,来自上海,Sirius_老Ben啃番茄,1729095997,女,2489,24.2万,可真阳刚
4.95E+15,3,4.95E+15,2023/9/16 11:29,17,来自北京,李李李子黄了,6013969275,男,138,10,故意伤害
4.95E+15,3,4.95E+15,2023/9/16 14:53,5,来自云南,唧唧歪歪的崽崽,1765441002,女,587,86,乘警和高铁上的服务员呢！！围观群众干嘛呢！！
4.95E+15,3,4.95E+15,2023/9/16 14:43,7,来自湖南,湖南陈树,1939690330,男,3088,5586,很多地方都是如此：平时鸡毛蒜皮的事，有人管，外国人没座位，有管理人员出面协调让座，这真正发生纠纷打人了，管理人员在哪里？
4.95E+15,3,4.95E+15,2023/9/16 13:57,10,来自辽宁,小菜星星,2532782317,男,524,226,石家庄那边以前黑社会很多，我不是地域黑，我讲的都是真的
4.95E+15,3,4.95E+15,2023/9/16 15:45,6,来自山东,chanrycsl,1644434232,女,270,136,乘务员乘警去哪儿了，这种人没人收拾了吗？老百姓的生活还能正常吗？
4.95E+15,3,4.95E+15,2023/9/16 15:35,4,来自河南,临清君,2360683677,女,77,108,结果是故意伤害还是寻意滋事呢？
4.95E+15,3,4.95E+15,2023/9/16 14:23,5,来自北京,牛大胖娃儿,1593879417,女,646,1481,看着好生气！违法成本太低！这次是教育还是教育呢？
4.95E+15,3,4.95E+15,2023/9/16 14:05,7,来自上海,者耳仲,6308790756,男,1754,528,乘警是和乘务员在一起写小说吗？这么久[笑而不語]
4.95E+15,4,4.95E+15,2023/9/18 11:02,4,来自四川,木-三羊,1971851865,女,507,1735,不能直接说“一家三口占座不成暴打女乘客”？新闻媒体现在不懂什么叫言简意赅了？
